documentid,Book,quizurl,bookurl,
,THE HOUSE OF THE SEVEN GABLES Nathaniel Hawthorne,https://www.sparknotes.com/lit/sevengables/quiz/,http://www.gutenberg.org/cache/epub/77/pg77.txt,
,THE IDIOT Fyodor Dostoevsky,https://www.sparknotes.com/lit/idiot/quiz/,https://www.gutenberg.org/files/2638/2638-0.txt,
,,,,
,THE ILIAD Homer,https://www.sparknotes.com/lit/iliad/quiz/,https://www.gutenberg.org/files/16452/16452-0.txt,
,THE IMPORTANCE OF BEING EARNEST Oscar Wilde,,http://www.gutenberg.org/cache/epub/844/pg844.txt,
aa38d6df737e5d8893dc9749f5d5aaf1f93da2c6,INCIDENTS IN THE LIFE OF A SLAVE GIRL Harriet A. Jacobs,https://www.sparknotes.com/lit/incidents/characters/?quickquiz_id=3534,,
,IVANHOE Sir Walter Scott,,https://www.gutenberg.org/files/82/82-0.txt,
,JANE EYRE Charlotte Brontë,https://www.sparknotes.com/lit/janeeyre/quiz/,,
,,,,
6fe349aaec027415d3cf64f2e667ea425908f004,JUDE THE OBSCURE Thomas Hardy,,,
,JULIUS CAESAR William Shakespeare,https://www.sparknotes.com/shakespeare/juliuscaesar/quiz/,https://www.gutenberg.org/files/1522/1522-0.txt,
,THE JUNGLE Upton Sinclair,,https://www.gutenberg.org/files/140/140-0.txt,
,"KING HENRY IV, PART 1 William Shakespeare",,http://www.gutenberg.org/cache/epub/1780/pg1780.txt,
,KING LEAR William Shakespeare,https://www.sparknotes.com/shakespeare/lear/quiz/,http://www.gutenberg.org/cache/epub/1128/pg1128.txt,
518bfcb6ea413715080cbd6f97aa479ac5f6c7d3,THE LAST OF THE MOHICANS James Fenimore Cooper,,,
,,,,
336e272847df32ee6f87eca63ee800c5add03639,LES MISERABLES Victor Hugo,,,
9e82564a36eb80df18284bc5566221a05e87c28b,LORD JIM Joseph Conrad,,,
,LOVE'S LABOUR'S LOST William Shakespeare,https://www.sparknotes.com/shakespeare/labours/summary/?quickquiz_id=5160,http://www.gutenberg.org/cache/epub/1109/pg1109.txt,
,MACBETH William Shakespeare,https://www.sparknotes.com/shakespeare/macbeth/quiz/,https://www.gutenberg.org/files/1533/1533-0.txt,
67161aa1a00a7151b4b0d43229d177363f8c5568,MADAME BOVARY Gustave Flaubert,,,
a71ea0ede601f09b48d88dbe9c060c60709a3a1c,MAIN STREET Sinclair Lewis,,,
922275a51723aed2075982860a49f986fee2a2e5,MAJOR BARBARA George Bernard Shaw,,,
,,,,
,THE MAYOR OF CASTERBRIDGE Thomas Hardy,https://www.sparknotes.com/lit/casterbridge/quiz/,https://www.gutenberg.org/files/143/143-0.txt,
,MEASURE FOR MEASURE William Shakespeare,,http://www.gutenberg.org/cache/epub/1126/pg1126.txt,
,THE MERCHANT OF VENICE William Shakespeare,https://www.sparknotes.com/shakespeare/merchant/quiz/,https://www.gutenberg.org/files/1515/1515-0.txt,
,THE MERRY WIVES OF WINDSOR William Shakespeare,https://www.sparknotes.com/shakespeare/merrywives/quiz/,https://www.gutenberg.org/files/23044/23044-0.txt,
,THE METAMORPHOSIS AND OTHER STORIES Franz Kafka,https://www.sparknotes.com/lit/metamorph/quiz/,http://www.gutenberg.org/cache/epub/5200/pg5200.txt,
,A MIDSUMMER NIGHT'S DREAM William Shakespeare,https://www.sparknotes.com/shakespeare/msnd/quiz/,https://www.gutenberg.org/files/1514/1514-0.txt,
8b6f5b48584406378734c720276da32e9d93adeb,THE MILL ON THE FLOSS George Eliot,,,
,MOBY-DICK Herman Melville,https://www.sparknotes.com/lit/mobydick/quiz/,https://www.gutenberg.org/files/2701/2701-0.txt,
924b3fef8301b7c25f882fa5b6f8f27a8a906f48,MOLL FLANDERS Daniel Defoe,,,
706d21321f927fefba090bf9af88835ac99035b0,MUCH ADO ABOUT NOTHING William Shakespeare,https://www.sparknotes.com/shakespeare/muchado/quiz/,,
,MY ÁNTONIA Willa Cather,https://www.sparknotes.com/lit/antonia/quiz/,https://www.gutenberg.org/files/242/242-0.txt,
,NOTES FROM UNDERGROUND Fyodor Dostoevsky,,http://www.gutenberg.org/cache/epub/600/pg600.txt,
,THE ODYSSEY Homer,https://www.sparknotes.com/lit/odyssey/quiz/,https://www.gutenberg.org/files/3160/3160-0.txt,
,OLIVER TWIST Charles Dickens,https://www.sparknotes.com/lit/oliver/quiz/,http://www.gutenberg.org/cache/epub/730/pg730.txt,
,OTHELLO William Shakespeare,https://www.sparknotes.com/shakespeare/othello/quiz/,http://www.gutenberg.org/cache/epub/2267/pg2267.txt,
d77afdf7d65249464b16a9643ff88ce36f6ef781,PARADISE LOST John Milton,https://www.sparknotes.com/poetry/paradiselost/quiz/,,
,,,,
,,,,
879287f285743b08d86c3bd0831ec1e49fa92e39,THE PICTURE OF DORIAN GRAY Oscar Wilde,https://www.sparknotes.com/lit/doriangray/quiz/,,
,THE PILGRIM'S PROGRESS John Bunyan,,,
58184a6c7022822b91a6593d00dd12be8bce7f36,A PORTRAIT OF THE ARTIST AS A YOUNG MAN James Joyce,,,
,THE PORTRAIT OF A LADY Henry James,,,
,PRIDE AND PREJUDICE Jane Austen,https://www.sparknotes.com/lit/pride/quiz/,https://www.gutenberg.org/files/1342/1342-0.txt,
,,,,
,PYGMALION George Bernard Shaw,https://www.sparknotes.com/lit/pygmalion/quiz/,http://www.gutenberg.org/cache/epub/3825/pg3825.txt,
61ea6d12378050c7293a15a1840045f02a5e0b04,THE RED BADGE OF COURAGE Stephen Crane,https://www.sparknotes.com/lit/redbadge/quiz/,,
,THE RETURN OF THE NATIVE Thomas Hardy,,https://www.gutenberg.org/files/122/122-0.txt,
,,,,
,RICHARD III William Shakespeare,https://www.sparknotes.com/shakespeare/richardiii/quiz/,http://www.gutenberg.org/cache/epub/1103/pg1103.txt,
,,,,
690d125ac5be2294cfb3af1cc95cfb5b3faa1366,ROBINSON CRUSOE Daniel Defoe,,,
,ROMEO AND JULIET William Shakespeare,https://www.sparknotes.com/shakespeare/romeojuliet/quiz/,https://www.gutenberg.org/files/1513/1513-0.txt,
,,,,
beeb1f8eb3f489807712799a70d13c4dbcd7901d,SENSE AND SENSIBILITY Jane Austen,https://www.sparknotes.com/lit/sensibility/quiz/,,
926198f64d64f2bf796feddd42a4aa1714ddf5b2,SIDDHARTHA Hermann Hesse,https://www.sparknotes.com/lit/siddhartha/quiz/,,
b59cb0fec8ab3d00eac6fda0452ae326cb2993aa,SILAS MARNER George Eliot,https://www.sparknotes.com/lit/silas/quiz/,,
,SISTER CARRIE Theodore Dreiser,https://www.sparknotes.com/lit/sistercarrie/summary/?quickquiz_id=5781,https://www.gutenberg.org/files/233/233-0.txt,
,A TALE OF TWO CITIES Charles Dickens,https://www.sparknotes.com/lit/twocities/quiz/,https://www.gutenberg.org/files/98/98-0.txt,
,THE TAMING OF THE SHREW William Shakespeare,https://www.sparknotes.com/shakespeare/shrew/quiz/,https://www.gutenberg.org/files/1508/1508-0.txt,
,,,,
,THE TEMPEST William Shakespeare,https://www.sparknotes.com/shakespeare/tempest/quiz/,https://www.gutenberg.org/files/23042/23042-0.txt,
,TESS OF THE D'URBERVILLES Thomas Hardy,https://www.sparknotes.com/lit/tess/,https://www.gutenberg.org/files/110/110-0.txt,
,THE THREE MUSKETEERS Alexandre Dumas,https://www.sparknotes.com/lit/3musk/summary/?quickquiz_id=6195,https://www.gutenberg.org/files/1257/1257-0.txt,
,TREASURE ISLAND Robert Louis Stevenson,https://www.sparknotes.com/lit/treasure/quiz/,https://www.gutenberg.org/files/120/120-0.txt,x
5f1a17e28f5bf12c6b2b5e740eea7df6fd055411,THE TURN OF THE SCREW Henry James,https://www.sparknotes.com/lit/screw/quiz/,,
,TWELFTH NIGHT William Shakespeare,https://www.sparknotes.com/shakespeare/twelfthnight/quiz/,https://www.gutenberg.org/files/1526/1526-0.txt,
,TWO GENTLEMEN OF VERONA William Shakespeare,https://www.sparknotes.com/shakespeare/twogentlemen/quiz/,,
,UNCLE TOM'S CABIN Harriet Beecher Stowe,https://www.sparknotes.com/lit/uncletom/quiz/,https://www.gutenberg.org/files/203/203-0.txt,
,,,,
,,,,
,WAR AND PEACE Leo Tolstoy,https://www.sparknotes.com/lit/warandpeace/quiz/,https://www.gutenberg.org/files/2600/2600-0.txt,
,,,,
,,,,
57669ca4e799e01c9f6e4d1ed2088f7f02765108,WHITE FANG Jack London,https://www.sparknotes.com/lit/fang/summary/?quickquiz_id=6671,,
,"WINESBURG, OHIO Sherwood Anderson",https://www.sparknotes.com/lit/winesburgohio/quiz/,http://www.gutenberg.org/cache/epub/416/pg416.txt,
,THE WINTER'S TALE William Shakespeare,https://www.sparknotes.com/shakespeare/winterstale/quiz/,https://www.gutenberg.org/files/1539/1539-0.txt,
,WUTHERING HEIGHTS Emily Brontë,https://www.sparknotes.com/lit/wuthering/quiz/,http://www.gutenberg.org/cache/epub/768/pg768.txt,
